Départements;Périmètres;Libellé index \ CSP;TOTAL;plus code
92;DSPAP;DTSP92 ANTONY;4610;Q76X+73 Antony
92;DSPAP;DTSP92 ASNIERES SUR SEINE;6647;W74Q+M4 Asnières-sur-Seine
92;DSPAP;DTSP92 BAGNEUX;2912;Q8V4+GM Bagneux
92;DSPAP;DTSP92 BOULOGNE BILLANCOURT;7002;R6PR+4F Boulogne-Billancourt
92;DSPAP;DTSP92 CHATENAY MALABRY;3890;Q78G+VV Châtenay-Malabry
92;DSPAP;DTSP92 CLAMART;3365;R727+88 Clamart
92;DSPAP;DTSP92 CLICHY LA GARENNE;4554;W834+H7 Clichy
92;DSPAP;DTSP92 COLOMBES;5593;W7C5+P8 Colombes
92;DSPAP;DTSP92 COURBEVOIE;3529;V7V3+H5 Courbevoie
92;DSPAP;DTSP92 GENNEVILLIERS;3988;W7FR+WV Gennevilliers
92;DSPAP;DTSP92 ISSY LES MOULINEAUX;2857;R7FC+83 Issy-les-Moulineaux
92;DSPAP;DTSP92 LA GARENNE COLOMBES;2078;W64R+G4 La Garenne-Colombes
92;DSPAP;DTSP92 LEVALLOIS PERRET;6833;V7VR+F3 Levallois-Perret
92;DSPAP;DTSP92 MEUDON;2390;R66R+72 Meudon
92;DSPAP;DTSP92 MONTROUGE;4312;R887+78 Montrouge
92;DSPAP;DTSP92 NANTERRE;6835;V6V4+22 Nanterre
92;DSPAP;DTSP92 NEUILLY SUR SEINE;5403;V7Q5+3F Neuilly-sur-Seine
92;DSPAP;DTSP92 PUTEAUX LA DEFENSE;6340;V6RV+C3 Courbevoie
92;DSPAP;DTSP92 RUEIL MALMAISON;3929;V5CH+X9 Rueil-Malmaison
92;DSPAP;DTSP92 SEVRES;2596;R6F5+8R Sèvres
92;DSPAP;DTSP92 ST CLOUD;2745;R6W9+7X Saint-Cloud
92;DSPAP;DTSP92 SURESNES;3280;V69G+92 Suresnes
92;DSPAP;DTSP92 VANVES;2892;R79P+GR Vanves
92;DSPAP;DTSP92 VILLENEUVE LA GARENNE;2444;W8JJ+GG Villeneuve-la-Garenne
93;DSPAP;DTSP93 AUBERVILLIERS;9993;
93;DSPAP;DTSP93 AULNAY SOUS BOIS;10214;
93;DSPAP;DTSP93 BOBIGNY;8781;
93;DSPAP;DTSP93 BONDY;6750;
93;DSPAP;DTSP93 CLICHY MONTFERMEIL;3783;
93;DSPAP;DTSP93 DRANCY;5251;
93;DSPAP;DTSP93 EPINAY SUR SEINE;5223;
93;DSPAP;DTSP93 GAGNY;2482;
93;DSPAP;DTSP93 LA COURNEUVE;7225;
93;DSPAP;DTSP93 LE BLANC MESNIL;3883;
93;DSPAP;DTSP93 LES LILAS;7747;
93;DSPAP;DTSP93 LIVRY GARGAN;3690;
93;DSPAP;DTSP93 MONTREUIL;7558;
93;DSPAP;DTSP93 NEUILLY SUR MARNE;3203;
93;DSPAP;DTSP93 NOISY LE GRAND;5113;
93;DSPAP;DTSP93 PANTIN;6085;
93;DSPAP;DTSP93 RAINCY;2918;
93;DSPAP;DTSP93 ROSNY SOUS BOIS;4039;
93;DSPAP;DTSP93 STAINS;4856;
93;DSPAP;DTSP93 ST DENIS;15673;
93;DSPAP;DTSP93 ST OUEN;6066;
93;DSPAP;DTSP93 VILLEPINTE;5398;
94;DSPAP;DTSP94 ALFORTVILLE;3021;
94;DSPAP;DTSP94 BOISSY ST LEGER;3844;
94;DSPAP;DTSP94 CHAMPIGNY SUR MARNE;4209;
94;DSPAP;DTSP94 CHARENTON LE PONT;2965;
94;DSPAP;DTSP94 CHENNEVIERES SUR MARNE;3640;
94;DSPAP;DTSP94 CHOISY LE ROI;5644;
94;DSPAP;DTSP94 CRETEIL;7461;
94;DSPAP;DTSP94 FONTENAY SOUS BOIS;3616;
94;DSPAP;DTSP94 IVRY SUR SEINE;4790;
94;DSPAP;DTSP94 KREMLIN BICETRE;10106;
94;DSPAP;DTSP94 L'HAY LES ROSES;6423;
94;DSPAP;DTSP94 MAISONS ALFORT;3713;
94;DSPAP;DTSP94 NOGENT SUR MARNE;4857;
94;DSPAP;DTSP94 ST MAUR DES FOSSES;4347;
94;DSPAP;DTSP94 SURETE TERRITORIALE;868;
94;DSPAP;DTSP94 VILLENEUVE ST GEORGES;4774;
94;DSPAP;DTSP94 VINCENNES;4481;
94;DSPAP;DTSP94 VITRY SUR SEINE;5690;
